team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2008,TOR,2008020032,TOR,STL,HOME,20081013,Team Level,other,0.5655,0.5294,0.5,232.0,4.93,0.371,0.298,1.113,0.159,2.843,2.216,0.37,0.371,0.37,4.0,3.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.241,0.13,0.0,0.0,0.0,0.0,9.0,7.0,7.0,0.0,0.088,0.0,0.0,0.459,0.459,0.458,5.18,0.285,0.321,1.158,0.2,2.845,2.191,0.285,0.285,0.285,3.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,7.0,1.0,2.0,5.0,0.0,2.0,0.0,5.0,2.0,0.0,0.09,0.195,0.0,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.093,0.0,0.0,0.378,0.378,0.377
TOR,2008,TOR,2008020032,TOR,STL,HOME,20081013,Team Level,all,0.6126,0.5852,0.602,3900.0,41.006,3.186,2.618,9.55,1.317,23.671,18.659,3.097,3.162,3.073,39.0,20.0,20.0,79.0,4.0,0.0,0.0,10.0,1.0,20.0,24.0,35.0,55.0,7.0,25.0,30.0,13.0,9.0,13.0,45.0,12.0,2.0,1.303,1.453,0.43,2.0,1.0,1.0,79.92,59.0,59.661,9.0,0.589,0.0,0.0,3.775,3.745,3.647,28.146,2.015,1.745,6.233,0.938,15.48,12.588,2.006,2.061,2.051,26.0,13.0,17.0,56.0,4.0,1.0,0.0,4.0,1.0,9.0,20.0,22.0,35.0,7.0,16.0,31.0,8.0,6.0,11.0,29.0,8.0,2.0,0.599,0.804,0.611,3.0,1.0,0.0,56.166,39.0,39.142,9.0,0.397,0.312,0.312,2.1,2.136,2.127
TOR,2008,TOR,2008020032,TOR,STL,HOME,20081013,Team Level,5on5,0.5626,0.6344,0.6515,2861.0,29.884,1.954,1.836,7.224,0.936,17.005,14.046,1.888,1.929,1.865,30.0,13.0,16.0,59.0,4.0,0.0,0.0,8.0,1.0,14.0,16.0,26.0,39.0,4.0,16.0,23.0,12.0,8.0,9.0,36.0,6.0,1.0,0.936,0.788,0.23,2.0,1.0,1.0,59.92,43.0,43.661,7.0,0.376,0.0,0.0,2.329,2.3,2.228,16.84,1.519,0.97,3.765,0.488,8.669,7.59,1.511,1.564,1.556,18.0,5.0,11.0,34.0,2.0,1.0,0.0,4.0,0.0,4.0,12.0,16.0,21.0,5.0,12.0,21.0,5.0,1.0,10.0,15.0,6.0,2.0,0.298,0.609,0.611,1.0,1.0,0.0,34.166,23.0,23.142,8.0,0.201,0.312,0.312,1.407,1.444,1.436
TOR,2008,TOR,2008020032,TOR,STL,HOME,20081013,Team Level,4on5,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.457,0.191,0.436,1.21,0.232,3.763,2.168,0.19,0.191,0.19,5.0,3.0,5.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.191,0.0,0.0,2.0,0.0,0.0,13.0,8.0,8.0,0.0,0.1,0.0,0.0,0.291,0.291,0.289
TOR,2008,TOR,2008020032,TOR,STL,HOME,20081013,Team Level,5on4,0.9773,0.9167,0.9,325.0,6.192,0.862,0.484,1.212,0.223,3.823,2.397,0.838,0.862,0.838,5.0,4.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,9.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,0.126,0.535,0.2,0.0,0.0,0.0,11.0,9.0,9.0,0.0,0.125,0.0,0.0,0.986,0.986,0.961,0.668,0.02,0.018,0.1,0.019,0.204,0.64,0.02,0.02,0.02,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.004,0.0,0.0,0.024,0.024,0.024
TOR,2008,TOR,2008020057,TOR,NYR,AWAY,20081017,Team Level,other,0.661,0.6,0.5789,87.0,7.682,0.663,0.595,1.707,0.296,4.377,3.361,0.652,0.663,0.652,5.0,6.0,4.0,15.0,0.0,2.0,0.0,0.0,2.0,3.0,4.0,5.0,11.0,1.0,2.0,7.0,0.0,0.0,0.0,8.0,2.0,1.0,0.111,0.21,0.342,0.0,0.0,0.0,15.0,11.0,11.0,0.0,0.195,0.13,0.13,0.728,0.728,0.726,5.325,0.34,0.333,1.077,0.173,3.372,2.706,0.338,0.34,0.338,6.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,6.0,8.0,1.0,2.0,3.0,0.0,1.0,0.0,7.0,1.0,0.0,0.238,0.102,0.0,0.0,0.0,0.0,10.0,8.0,8.0,0.0,0.086,0.0,0.0,0.426,0.426,0.422
TOR,2008,TOR,2008020057,TOR,NYR,AWAY,20081017,Team Level,all,0.2487,0.3613,0.3667,3900.0,23.29,1.386,1.572,5.619,0.775,13.302,10.346,1.374,1.418,1.406,21.0,12.0,10.0,43.0,0.0,2.0,0.0,3.0,3.0,14.0,11.0,21.0,33.0,9.0,21.0,33.0,32.0,7.0,2.0,29.0,3.0,1.0,0.747,0.296,0.342,0.0,0.0,0.0,43.768,33.0,33.549,2.0,0.406,0.13,0.13,1.662,1.701,1.697,39.302,4.186,3.042,8.016,1.273,23.688,16.794,3.995,4.089,3.899,32.0,25.0,19.0,76.0,0.0,1.0,0.0,10.0,2.0,23.0,21.0,32.0,57.0,4.0,11.0,24.0,42.0,14.0,9.0,34.0,20.0,3.0,1.161,2.222,0.803,0.0,0.0,0.0,74.77,57.0,56.107,6.0,0.702,0.081,0.081,4.807,4.695,4.473
TOR,2008,TOR,2008020057,TOR,NYR,AWAY,20081017,Team Level,5on5,0.2318,0.3692,0.3673,2548.0,12.692,0.657,0.682,3.106,0.4,7.284,5.872,0.656,0.689,0.688,12.0,6.0,6.0,24.0,0.0,0.0,0.0,2.0,1.0,10.0,5.0,12.0,18.0,6.0,15.0,18.0,27.0,6.0,1.0,17.0,1.0,0.0,0.571,0.086,0.0,0.0,0.0,0.0,24.768,18.0,18.549,1.0,0.136,0.0,0.0,0.792,0.831,0.83,21.969,2.177,1.541,4.76,0.684,12.606,9.232,2.135,2.08,2.04,18.0,13.0,10.0,41.0,0.0,0.0,0.0,6.0,1.0,11.0,13.0,18.0,31.0,2.0,7.0,12.0,38.0,7.0,5.0,19.0,10.0,2.0,0.594,1.093,0.491,0.0,0.0,0.0,39.77,31.0,30.107,5.0,0.319,0.0,0.0,2.497,2.384,2.336
TOR,2008,TOR,2008020057,TOR,NYR,AWAY,20081017,Team Level,4on5,0.0,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,1.573,1.114,1.999,0.38,7.239,3.694,1.427,1.573,1.427,7.0,9.0,7.0,23.0,0.0,0.0,0.0,2.0,1.0,8.0,5.0,7.0,16.0,1.0,2.0,8.0,2.0,2.0,3.0,7.0,8.0,1.0,0.316,0.945,0.312,0.0,0.0,0.0,23.0,16.0,16.0,0.0,0.283,0.0,0.0,1.856,1.856,1.687
TOR,2008,TOR,2008020057,TOR,NYR,AWAY,20081017,Team Level,5on4,0.4074,0.6667,0.6667,421.0,2.917,0.066,0.295,0.806,0.079,1.641,1.113,0.066,0.066,0.066,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.075,0.0,0.0,0.141,0.141,0.141,1.299,0.096,0.055,0.18,0.036,0.471,1.163,0.094,0.096,0.094,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.014,0.081,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.014,0.081,0.081,0.028,0.028,0.028
TOR,2008,TOR,2008020066,TOR,PIT,AWAY,20081018,Team Level,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR,2008,TOR,2008020066,TOR,PIT,AWAY,20081018,Team Level,all,0.4544,0.5364,0.5263,3600.0,27.59,2.354,1.877,6.299,0.864,16.366,11.306,2.312,2.37,2.328,27.0,13.0,19.0,59.0,1.0,2.0,1.0,5.0,2.0,13.0,17.0,26.0,39.0,4.0,8.0,22.0,24.0,3.0,6.0,34.0,5.0,1.0,0.773,0.702,0.88,0.0,0.0,1.0,58.603,40.0,39.918,2.0,0.409,1.063,1.063,1.635,1.655,1.646,26.385,2.826,2.135,5.409,0.876,14.281,10.473,2.78,2.759,2.715,25.0,11.0,15.0,51.0,4.0,2.0,0.0,7.0,0.0,10.0,13.0,21.0,32.0,5.0,12.0,34.0,27.0,7.0,9.0,23.0,10.0,3.0,0.895,1.14,0.79,1.0,2.0,1.0,51.308,36.0,36.114,4.0,0.466,0.497,0.497,2.794,2.742,2.731
TOR,2008,TOR,2008020066,TOR,PIT,AWAY,20081018,Team Level,5on5,0.3625,0.4487,0.4444,2530.0,17.606,1.236,1.146,4.184,0.533,9.728,7.174,1.203,1.252,1.218,15.0,9.0,11.0,35.0,0.0,1.0,0.0,2.0,2.0,8.0,11.0,15.0,24.0,4.0,8.0,14.0,23.0,2.0,4.0,19.0,5.0,0.0,0.534,0.702,0.0,0.0,0.0,0.0,34.603,24.0,23.918,1.0,0.233,0.183,0.183,1.286,1.306,1.298,21.886,2.174,1.731,4.666,0.736,11.889,8.805,2.128,2.107,2.063,19.0,11.0,13.0,43.0,2.0,2.0,0.0,7.0,0.0,6.0,13.0,17.0,28.0,5.0,12.0,23.0,24.0,4.0,8.0,21.0,7.0,2.0,0.812,0.824,0.537,1.0,1.0,0.0,43.308,30.0,30.114,4.0,0.365,0.497,0.497,2.041,1.988,1.978
